日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20260131.0,5886.0,ＯＯＫＡＢＥ　ＧＬＡＳＳ,PRO Market,6050.0,卸売業,13.0,商社・卸売,-,-
20260131.0,5887.0,光響,PRO Market,6050.0,卸売業,13.0,商社・卸売,-,-
20260131.0,5888.0,ＤＡＩＷＡ　ＣＹＣＬＥ,グロース（内国株式）,6100.0,小売業,14.0,小売,-,-
20260131.0,5889.0,Ｊａｐａｎ　Ｅｙｅｗｅａｒ　Ｈｏｌｄｉｎｇｓ,プライム（内国株式）,6100.0,小売業,14.0,小売,7.0,TOPIX Small 2
20260131.0,5890.0,オフィスバスターズ,PRO Market,6100.0,小売業,14.0,小売,-,-
20260131.0,5891.0,魁力屋,スタンダード（内国株式）,6100.0,小売業,14.0,小売,-,-
20260131.0,5892.0,ｙｕｔｏｒｉ,グロース（内国株式）,6100.0,小売業,14.0,小売,-,-
20260131.0,5893.0,ＲＡＶＩＰＡ,PRO Market,6100.0,小売業,14.0,小売,-,-
20260131.0,5900.0,ダイケン,スタンダード（内国株式）,3550.0,金属製品,3.0,建設・資材,-,-
20260131.0,5901.0,東洋製罐グループホールディングス,プライム（内国株式）,3550.0,金属製品,3.0,建設・資材,4.0,TOPIX Mid400
20260131.0,5902.0,ホッカンホールディングス,プライム（内国株式）,3550.0,金属製品,3.0,建設・資材,7.0,TOPIX Small 2
20260131.0,5903.0,シンポ,スタンダード（内国株式）,3550.0,金属製品,3.0,建設・資材,-,-
20260131.0,5905.0,日本製罐,スタンダード（内国株式）,3550.0,金属製品,3.0,建設・資材,-,-
20260131.0,5906.0,エムケー精工,スタンダード（内国株式）,3550.0,金属製品,3.0,建設・資材,-,-
20260131.0,5909.0,コロナ,スタンダード（内国株式）,3550.0,金属製品,3.0,建設・資材,7.0,TOPIX Small 2
20260131.0,5911.0,横河ブリッジホールディングス,プライム（内国株式）,3550.0,金属製品,3.0,建設・資材,6.0,TOPIX Small 1
20260131.0,5915.0,駒井ハルテック,スタンダード（内国株式）,3550.0,金属製品,3.0,建設・資材,-,-
20260131.0,5918.0,瀧上工業,スタンダード（内国株式）,3550.0,金属製品,3.0,建設・資材,-,-
20260131.0,5921.0,川岸工業,スタンダード（内国株式）,3550.0,金属製品,3.0,建設・資材,-,-
20260131.0,5922.0,那須電機鉄工,スタンダード（内国株式）,3550.0,金属製品,3.0,建設・資材,-,-
20260131.0,5923.0,高田機工,スタンダード（内国株式）,3550.0,金属製品,3.0,建設・資材,-,-
20260131.0,5928.0,アルメタックス,スタンダード（内国株式）,3550.0,金属製品,3.0,建設・資材,-,-
20260131.0,5929.0,三和ホールディングス,プライム（内国株式）,3550.0,金属製品,3.0,建設・資材,4.0,TOPIX Mid400
20260131.0,5930.0,文化シヤッター,プライム（内国株式）,3550.0,金属製品,3.0,建設・資材,6.0,TOPIX Small 1
20260131.0,5932.0,三協立山,プライム（内国株式）,3550.0,金属製品,3.0,建設・資材,7.0,TOPIX Small 2
20260131.0,5933.0,アルインコ,プライム（内国株式）,3550.0,金属製品,3.0,建設・資材,7.0,TOPIX Small 2
20260131.0,5936.0,東洋シヤッター,スタンダード（内国株式）,3550.0,金属製品,3.0,建設・資材,-,-
20260131.0,5938.0,ＬＩＸＩＬ,プライム（内国株式）,3550.0,金属製品,3.0,建設・資材,4.0,TOPIX Mid400
20260131.0,5939.0,大谷工業,スタンダード（内国株式）,3550.0,金属製品,3.0,建設・資材,-,-
20260131.0,5940.0,不二サッシ,スタンダード（内国株式）,3550.0,金属製品,3.0,建設・資材,-,-
20260131.0,5941.0,中西製作所,スタンダード（内国株式）,3550.0,金属製品,3.0,建設・資材,-,-
20260131.0,5942.0,日本フイルコン,スタンダード（内国株式）,3550.0,金属製品,3.0,建設・資材,-,-
20260131.0,5943.0,ノーリツ,プライム（内国株式）,3550.0,金属製品,3.0,建設・資材,6.0,TOPIX Small 1
20260131.0,5945.0,天龍製鋸,スタンダード（内国株式）,3550.0,金属製品,3.0,建設・資材,-,-
20260131.0,5946.0,長府製作所,プライム（内国株式）,3550.0,金属製品,3.0,建設・資材,7.0,TOPIX Small 2
20260131.0,5947.0,リンナイ,プライム（内国株式）,3550.0,金属製品,3.0,建設・資材,4.0,TOPIX Mid400
20260131.0,5949.0,ユニプレス,プライム（内国株式）,3700.0,輸送用機器,6.0,自動車・輸送機,6.0,TOPIX Small 1
20260131.0,5950.0,日本パワーファスニング,スタンダード（内国株式）,3550.0,金属製品,3.0,建設・資材,-,-
20260131.0,5951.0,ダイニチ工業,スタンダード（内国株式）,3550.0,金属製品,3.0,建設・資材,-,-
20260131.0,5952.0,アマテイ,スタンダード（内国株式）,3550.0,金属製品,3.0,建設・資材,-,-
20260131.0,5955.0,ワイズホールディングス,スタンダード（内国株式）,3550.0,金属製品,3.0,建設・資材,-,-
20260131.0,5956.0,トーソー,スタンダード（内国株式）,3550.0,金属製品,3.0,建設・資材,-,-
20260131.0,5957.0,日東精工,プライム（内国株式）,3550.0,金属製品,3.0,建設・資材,7.0,TOPIX Small 2
20260131.0,5958.0,三洋工業,スタンダード（内国株式）,3550.0,金属製品,3.0,建設・資材,-,-
20260131.0,5959.0,岡部,プライム（内国株式）,3550.0,金属製品,3.0,建設・資材,7.0,TOPIX Small 2
20260131.0,5962.0,浅香工業,スタンダード（内国株式）,3800.0,その他製品,10.0,情報通信・サービスその他,-,-
20260131.0,5965.0,フジマック,スタンダード（内国株式）,3550.0,金属製品,3.0,建設・資材,-,-
20260131.0,5966.0,京都機械工具,スタンダード（内国株式）,3550.0,金属製品,3.0,建設・資材,-,-
20260131.0,5967.0,ＴＯＮＥ,スタンダード（内国株式）,3550.0,金属製品,3.0,建設・資材,-,-
20260131.0,5969.0,ロブテックス,スタンダード（内国株式）,3550.0,金属製品,3.0,建設・資材,-,-
20260131.0,5970.0,ジーテクト,プライム（内国株式）,3550.0,金属製品,3.0,建設・資材,6.0,TOPIX Small 1
20260131.0,5971.0,共和工業所,スタンダード（内国株式）,3550.0,金属製品,3.0,建設・資材,-,-
20260131.0,5973.0,トーアミ,スタンダード（内国株式）,3550.0,金属製品,3.0,建設・資材,-,-
20260131.0,5974.0,中国工業,スタンダード（内国株式）,3550.0,金属製品,3.0,建設・資材,-,-
20260131.0,5975.0,東プレ,プライム（内国株式）,3550.0,金属製品,3.0,建設・資材,6.0,TOPIX Small 1
20260131.0,5976.0,高周波熱錬,プライム（内国株式）,3550.0,金属製品,3.0,建設・資材,7.0,TOPIX Small 2
20260131.0,5981.0,東京製綱,プライム（内国株式）,3550.0,金属製品,3.0,建設・資材,7.0,TOPIX Small 2
20260131.0,5982.0,マルゼン,スタンダード（内国株式）,3550.0,金属製品,3.0,建設・資材,-,-
20260131.0,5983.0,イワブチ,スタンダード（内国株式）,3550.0,金属製品,3.0,建設・資材,-,-
20260131.0,5984.0,兼房,スタンダード（内国株式）,3550.0,金属製品,3.0,建設・資材,-,-
20260131.0,5985.0,サンコール,スタンダード（内国株式）,3550.0,金属製品,3.0,建設・資材,7.0,TOPIX Small 2
20260131.0,5986.0,モリテック　スチール,スタンダード（内国株式）,3550.0,金属製品,3.0,建設・資材,-,-
20260131.0,5987.0,オーネックス,スタンダード（内国株式）,3550.0,金属製品,3.0,建設・資材,-,-
20260131.0,5988.0,パイオラックス,プライム（内国株式）,3550.0,金属製品,3.0,建設・資材,6.0,TOPIX Small 1
20260131.0,5989.0,エイチワン,プライム（内国株式）,3550.0,金属製品,3.0,建設・資材,7.0,TOPIX Small 2
20260131.0,5990.0,スーパーツール,スタンダード（内国株式）,3550.0,金属製品,3.0,建設・資材,-,-
20260131.0,5991.0,日本発條,プライム（内国株式）,3550.0,金属製品,3.0,建設・資材,4.0,TOPIX Mid400
20260131.0,5992.0,中央発條,スタンダード（内国株式）,3550.0,金属製品,3.0,建設・資材,7.0,TOPIX Small 2
